Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.7779963454357671,0.7760631525337407,0.001933192902026426,0.6413309566250742,789
Decision Tree,0.8411466857339583,0.739572192513369,0.10157449322058931,0.6133803836401264,789
KNN,0.8522120706549086,0.7317460317460318,0.12046603890887675,0.5862745223885966,789
SVM (RBF),0.8268170864119065,0.7538409303115186,0.07297615610038799,0.5987906332486659,789
Bagging (Trees),1.0,0.7604108309990664,0.23958916900093363,0.6400658561093785,789
Random Forest,0.9986981276978893,0.7655886597063069,0.2331094679915825,0.6414371705211722,789
Extra Trees,0.9528005084611106,0.7721076309311604,0.18069287752995022,0.6314719445830766,789
AdaBoost,0.841464473928127,0.7564977506153977,0.08496672331272925,0.6273180523180524,789
Gradient Boosting,0.9192653796244803,0.7603683897801544,0.15889698984432588,0.6398053664604192,789
XGBoost,0.9479166335637297,0.7603853662677192,0.18753126729601044,0.6459872509489087,789
LightGBM,0.991212097137258,0.7552075375604788,0.23600455957677924,0.6423671875404009,789
CatBoost,0.8522104817139378,0.7668703845174434,0.08534009719649438,0.6362011336047868,789
Stacking (LR+Tree+SVM),0.7978448663965467,0.7591036414565826,0.038741224939964125,0.6140547142000451,789
