Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.853170731707317,0.8458536585365855,0.007317073170731603,0.8560428871957816,42
Decision Tree,1.0,1.0,0.0,1.0,42
KNN,0.9958536585365853,0.9619512195121951,0.03390243902439016,0.9624563390144729,42
SVM (RBF),0.9968292682926829,0.9873170731707317,0.009512195121951228,0.9875590618141616,42
Bagging (Trees),1.0,1.0,0.0,1.0,42
Random Forest,1.0,0.9960975609756098,0.0039024390243902474,0.996116504854369,42
Extra Trees,1.0,0.9960975609756098,0.0039024390243902474,0.996116504854369,42
AdaBoost,0.965609756097561,0.937560975609756,0.028048780487804903,0.9390042269470774,42
Gradient Boosting,1.0,0.9960975609756098,0.0039024390243902474,0.996116504854369,42
XGBoost,1.0,1.0,0.0,1.0,42
LightGBM,1.0,1.0,0.0,1.0,42
CatBoost,1.0,1.0,0.0,1.0,42
Stacking (LR+Tree+SVM),0.9992682926829268,0.9990243902439024,0.00024390243902439046,0.9990521327014218,42
