Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.7789714255448743,0.7721500721500721,0.006821353394802165,0.6320890538033396,123
Decision Tree,0.843423108498186,0.7422120363296834,0.10121107216850267,0.6227180319963825,123
KNN,0.8538428537379836,0.7356336473983534,0.11820920633963028,0.5950364820827899,123
SVM (RBF),0.8261725060247345,0.7695611577964518,0.05661134822828262,0.6289642930438468,123
Bagging (Trees),1.0,0.777336389101095,0.22266361089890496,0.6587329713879654,123
Random Forest,0.9973957257487884,0.7708174178762415,0.22657830787254696,0.6521394337993147,123
Extra Trees,1.0,0.7695866225277991,0.23041337747220092,0.6382089751664398,123
AdaBoost,0.8401710759778608,0.7656395891690009,0.0745314868088599,0.6361190698522993,123
Gradient Boosting,0.9977219882948015,0.7604702487055428,0.23725173958925871,0.6496167621515183,123
XGBoost,0.9863308704748285,0.7656480774127832,0.2206827930620453,0.656167563365899,123
LightGBM,0.9886067635920659,0.7682285035226212,0.22037826006944472,0.6551931434910581,123
CatBoost,0.9934911681364371,0.7734402852049911,0.22005088293144603,0.6648067226890756,123
Stacking (LR+Tree+SVM),0.8020846905537459,0.7669552669552668,0.03512942359847904,0.6235858188084686,123
