Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.9824262579525739,0.9736686849868033,0.008757572965770621,0.9794934794934795,42
Decision Tree,0.9920917678812415,0.9279925477410339,0.06409922014020764,0.9437934306712297,42
KNN,0.9806680161943321,0.9665890389691041,0.014078977225227995,0.9739598769338853,42
SVM (RBF),0.9916531713900134,0.9789163173420278,0.012736854047985635,0.9833659728850019,42
Bagging (Trees),1.0,0.956078248719143,0.04392175128085696,0.9654466233493588,42
Random Forest,1.0,0.9595870206489675,0.040412979351032496,0.9679939738452459,42
Extra Trees,1.0,0.968390001552554,0.03160999844744605,0.9750675976209973,42
AdaBoost,1.0,0.9630957925787922,0.03690420742120781,0.9708157198737523,42
Gradient Boosting,1.0,0.9578636857630801,0.04213631423691988,0.9670872094026457,42
XGBoost,0.9995604395604396,0.9666045645086166,0.03295587505182296,0.9737485010082236,42
LightGBM,1.0,0.9631268436578171,0.03687315634218291,0.9710850276304648,42
CatBoost,1.0,0.9701288619779538,0.029871138022046217,0.9763559714678764,42
Stacking (LR+Tree+SVM),0.9894534412955466,0.9648657040832168,0.024587737212329763,0.9721938339653091,42
