Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.9943858957943466,0.9830158730158731,0.011370022778473432,0.9830916972263946,456
Decision Tree,1.0,0.9158730158730158,0.08412698412698416,0.9158098492893216,456
KNN,0.9705308775731311,0.972063492063492,-0.0015326144903609062,0.9733573772554284,456
SVM (RBF),0.9986013986013986,0.9833333333333332,0.015268065268065456,0.983504493924021,456
Bagging (Trees),1.0,0.9661904761904762,0.033809523809523845,0.9664844970492148,456
Random Forest,1.0,0.9774603174603176,0.022539682539682415,0.9779835506919333,456
Extra Trees,1.0,0.9887301587301588,0.011269841269841208,0.9891588597235774,456
AdaBoost,1.0,0.9328571428571429,0.06714285714285706,0.9347985225946246,456
Gradient Boosting,1.0,0.9496825396825397,0.050317460317460316,0.9509234109618129,456
XGBoost,1.0,0.9719047619047618,0.028095238095238173,0.9726759014862332,456
LightGBM,1.0,0.9496825396825397,0.050317460317460316,0.9512578750682067,456
CatBoost,0.9986013986013986,0.9663492063492063,0.032252192252192335,0.9673501654938305,456
Stacking (LR+Tree+SVM),0.9985915492957746,0.9661904761904762,0.032401073105298495,0.9662620223951942,456
