Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.9890177366493156,0.9754075454122031,0.01361019123711249,0.9804760565105394,123
Decision Tree,0.991210719105456,0.9420431609998448,0.04916755810561124,0.9547453611143503,123
KNN,0.9780306535569693,0.9701599130569788,0.00787074049999048,0.9768300973499591,123
SVM (RBF),0.9863813379602853,0.9719298245614034,0.014451513398881843,0.9778530829900692,123
Bagging (Trees),1.0,0.9596180717279925,0.040381928272007483,0.9683306868978528,123
Random Forest,1.0,0.9631268436578171,0.03687315634218291,0.9709182059237278,123
Extra Trees,1.0,0.968390001552554,0.03160999844744605,0.975113083370849,123
AdaBoost,1.0,0.968421052631579,0.03157894736842104,0.9751141552511416,123
Gradient Boosting,1.0,0.968421052631579,0.03157894736842104,0.9750574712643678,123
XGBoost,1.0,0.9684055270920664,0.0315944729079336,0.9748632040885562,123
LightGBM,1.0,0.9666511411271541,0.03334885887284589,0.9735798131499929,123
CatBoost,1.0,0.9701599130569788,0.029840086943021205,0.9764558047316669,123
Stacking (LR+Tree+SVM),0.9903354540196645,0.9648501785437043,0.025485275475960245,0.9720856999026012,123
