Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.9806641604010025,0.9753454432541531,0.005318717146849394,0.98070695310265,1011
Decision Tree,0.9934085213032582,0.9542772861356932,0.039131235167565004,0.9637083346250159,1011
KNN,0.9780296896086369,0.9648346530041918,0.013195036604445098,0.9725198377633536,1011
SVM (RBF),0.9912116830537883,0.9753609687936654,0.015850714260122856,0.9805139975051229,1011
Bagging (Trees),1.0,0.9612948299953423,0.038705170004657674,0.9691474334310662,1011
Random Forest,1.0,0.9648501785437043,0.03514982145629575,0.9720856999026013,1011
Extra Trees,0.9978021978021978,0.9648191274646795,0.03298307033751835,0.9724877861864163,1011
AdaBoost,1.0,0.9736221083682658,0.026377891631734207,0.9790791201136029,1011
Gradient Boosting,1.0,0.9665579878900792,0.033442012109920816,0.9735218060230201,1011
XGBoost,1.0,0.9648036019251668,0.03519639807483321,0.9719489039911575,1011
LightGBM,1.0,0.9700978108989288,0.02990218910107123,0.9762802870865037,1011
CatBoost,1.0,0.9736221083682658,0.026377891631734207,0.9791942076188652,1011
Stacking (LR+Tree+SVM),0.9876951995373048,0.9683278993945039,0.01936730014280086,0.9749214847270606,1011
