Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.8568292682926829,0.8419512195121952,0.014878048780487707,0.8536297202204309,456
Decision Tree,1.0,0.9941463414634146,0.005853658536585371,0.9941747572815534,456
KNN,0.9941463414634146,0.9502439024390243,0.04390243902439028,0.9506933509528214,456
SVM (RBF),0.9968292682926829,0.9814634146341463,0.015365853658536599,0.9820289596980247,456
Bagging (Trees),1.0,0.9970731707317073,0.0029268292682926855,0.9971291866028708,456
Random Forest,1.0,0.9970731707317073,0.0029268292682926855,0.9971291866028708,456
Extra Trees,1.0,0.9970731707317073,0.0029268292682926855,0.9971291866028708,456
AdaBoost,0.9626829268292683,0.9307317073170731,0.03195121951219515,0.9327831392755529,456
Gradient Boosting,1.0,0.9970731707317073,0.0029268292682926855,0.9971291866028708,456
XGBoost,1.0,0.9970731707317073,0.0029268292682926855,0.9971291866028708,456
LightGBM,1.0,0.9970731707317073,0.0029268292682926855,0.9971291866028708,456
CatBoost,1.0,0.9970731707317073,0.0029268292682926855,0.9971291866028708,456
Stacking (LR+Tree+SVM),0.9990243902439024,0.9941463414634146,0.004878048780487809,0.9941747572815534,456
