Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.7812515558380341,0.7721500721500721,0.009101483687961931,0.6291009430947437,456
Decision Tree,0.8453790948332938,0.746150581444699,0.09922851338859473,0.6184321757376786,456
KNN,0.8580747331903288,0.7174772939478822,0.1405974392424466,0.556354901631542,456
SVM (RBF),0.8271502343687931,0.7578219166454461,0.06932831772334702,0.6102966623782865,456
Bagging (Trees),1.0,0.7539003480179951,0.2460996519820049,0.6292896260902777,456
Random Forest,1.0,0.757821916645446,0.24217808335455404,0.6284244621358023,456
Extra Trees,0.9550748126373773,0.7630082335964689,0.1920665790409084,0.606619692290421,456
AdaBoost,0.8375641534916978,0.7591545709192767,0.07840958257242103,0.619697473807438,456
Gradient Boosting,0.9332692460475093,0.7603938545115015,0.17287539153600773,0.6390876594033703,456
XGBoost,0.9462890283625963,0.7617095322977676,0.1845794960648287,0.6450880135791889,456
LightGBM,0.9886083525330367,0.7500127323656736,0.23859562016736313,0.6266563658235969,456
CatBoost,0.8551452556870845,0.7630082335964689,0.0921370220906157,0.6263725753037275,456
Stacking (LR+Tree+SVM),0.7978496332194593,0.7604532722179781,0.03739636100148125,0.60912891858716,456
