Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,1.0,0.9944444444444445,0.005555555555555536,0.9943562610229277,789
Decision Tree,1.0,0.8874603174603175,0.1125396825396825,0.8901238129604255,789
KNN,0.9719097803604846,0.9663492063492063,0.005560574011278296,0.9686313932980599,789
SVM (RBF),0.9985915492957746,0.9776190476190475,0.02097250167672715,0.9771536080699146,789
Bagging (Trees),1.0,0.9776190476190475,0.0223809523809525,0.9780451495221477,789
Random Forest,1.0,0.9776190476190475,0.0223809523809525,0.9780451495221477,789
Extra Trees,1.0,0.9944444444444445,0.005555555555555536,0.9948641975308643,789
AdaBoost,1.0,0.9660317460317461,0.03396825396825387,0.9673098938746115,789
Gradient Boosting,1.0,0.9833333333333332,0.01666666666666683,0.9838591737269766,789
XGBoost,1.0,0.9774603174603176,0.022539682539682415,0.9780512311374249,789
LightGBM,1.0,0.9887301587301588,0.011269841269841208,0.9888246909683559,789
CatBoost,1.0,0.9776190476190475,0.0223809523809525,0.9781219430342236,789
Stacking (LR+Tree+SVM),1.0,0.9719047619047618,0.028095238095238173,0.9717305317904185,789
