Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.853658536585366,0.8478048780487806,0.005853658536585371,0.8588760721903217,123
Decision Tree,1.0,0.9931707317073171,0.006829268292682933,0.9932179541297312,123
KNN,0.9948780487804877,0.9560975609756097,0.03878048780487797,0.9580226697618002,123
SVM (RBF),0.9978048780487805,0.9863414634146341,0.011463414634146352,0.9866284417990536,123
Bagging (Trees),1.0,1.0,0.0,1.0,123
Random Forest,1.0,1.0,0.0,1.0,123
Extra Trees,1.0,1.0,0.0,1.0,123
AdaBoost,0.9690243902439025,0.9356097560975609,0.033414634146341604,0.9366078856455516,123
Gradient Boosting,1.0,0.9960975609756098,0.0039024390243902474,0.996116504854369,123
XGBoost,1.0,1.0,0.0,1.0,123
LightGBM,1.0,1.0,0.0,1.0,123
CatBoost,1.0,1.0,0.0,1.0,123
Stacking (LR+Tree+SVM),0.9975609756097562,0.9892682926829268,0.008292682926829387,0.9894442543306674,123
