Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.982867746288799,0.9806707033069397,0.0021970429818592985,0.9848428215449492,456
Decision Tree,0.9925322922691343,0.9385033379909953,0.05402895427813903,0.9512151624418024,456
KNN,0.9762753036437246,0.9648657040832168,0.0114095995605078,0.97272209242422,456
SVM (RBF),0.9881376518218623,0.9789163173420278,0.009221334479834531,0.9832707411077631,456
Bagging (Trees),1.0,0.95960254618848,0.040397453811520045,0.9676986897922791,456
Random Forest,1.0,0.9631268436578171,0.03687315634218291,0.9709073391755816,456
Extra Trees,0.9991218430692115,0.9736531594472908,0.025468683621920674,0.9791879401082898,456
AdaBoost,1.0,0.9806707033069397,0.01932929669306027,0.984612240175953,456
Gradient Boosting,1.0,0.9666045645086166,0.03339543549138335,0.9734200900116946,456
XGBoost,1.0,0.9718987734823784,0.02810122651762159,0.9776948114521833,456
LightGBM,1.0,0.9719142990218911,0.02808570097810892,0.9777907806479236,456
CatBoost,1.0,0.9718987734823784,0.02810122651762159,0.9777511098336049,456
Stacking (LR+Tree+SVM),0.9881366878735299,0.9683589504735289,0.019777737400000994,0.974935132120643,456
