Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.9957844971929479,0.9885714285714287,0.00721306862151927,0.9888246909683559,1011
Decision Tree,0.9985915492957746,0.8933333333333333,0.10525821596244134,0.893367745663576,1011
KNN,0.9648675268393578,0.9661904761904762,-0.0013229493511183188,0.9669773592229733,1011
SVM (RBF),0.9985915492957746,0.9830158730158731,0.01557567627990153,0.9827525847064964,1011
Bagging (Trees),1.0,0.9773015873015873,0.022698412698412662,0.977655463551989,1011
Random Forest,1.0,0.9828571428571429,0.017142857142857126,0.9828528648513393,1011
Extra Trees,1.0,0.9885714285714287,0.011428571428571344,0.9888246909683559,1011
AdaBoost,1.0,0.9495238095238095,0.05047619047619045,0.9503249949474206,1011
Gradient Boosting,1.0,0.9830158730158731,0.01698412698412688,0.9836333712842826,1011
XGBoost,1.0,0.9828571428571429,0.017142857142857126,0.9828528648513393,1011
LightGBM,1.0,0.9885714285714287,0.011428571428571344,0.9882144697631692,1011
CatBoost,1.0,0.9828571428571429,0.017142857142857126,0.9828528648513393,1011
Stacking (LR+Tree+SVM),1.0,0.9660317460317461,0.03396825396825387,0.965833544801459,1011
