Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.7812520854850242,0.7786860198624904,0.0025660656225338085,0.6449783103804135,1011
Decision Tree,0.81737983633908,0.7526355996944232,0.06474423664465678,0.6366598169290925,1011
KNN,0.8264945313948253,0.7382565147271029,0.08823801666772246,0.5951873799048011,1011
SVM (RBF),0.8261756839066761,0.75650623885918,0.06966944504749606,0.611582578360929,1011
Bagging (Trees),1.0,0.7565486800780918,0.24345131992190816,0.6304329144172397,1011
Random Forest,1.0,0.7708513708513708,0.2291486291486292,0.6501447605914865,1011
Extra Trees,1.0,0.7695781342840166,0.23042186571598344,0.6457785987562056,1011
AdaBoost,0.8365917216175418,0.760427807486631,0.07616391413091084,0.6331327759500031,1011
Gradient Boosting,0.958659993114589,0.7669722434428317,0.1916877496717574,0.6486527514231499,1011
XGBoost,0.8942077805142873,0.7682624564977507,0.12594532401653658,0.6538096414632333,1011
LightGBM,0.9895839622891343,0.7500042441218912,0.2395797181672431,0.6272999801452995,1011
CatBoost,0.969074441884484,0.7656226126814362,0.20345182920304783,0.6447210022192443,1011
Stacking (LR+Tree+SVM),0.8053441381319351,0.7695696460402344,0.035774492091700694,0.6316693248272196,1011
